Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
YKL060C	YKL060C_mRNA	YKL060C	FBA1	853805
tV(AAC)G2	tV(AAC)G2_tRNA			
YDL215C	YDL215C_mRNA	YDL215C	GDH2	851311
YJL205C	YJL205C_mRNA	YJL205C	NCE101	853225
YGL133W	YGL133W_mRNA	YGL133W	ITC1	852744
YOR355W	YOR355W_mRNA	YOR355W	GDS1	854537
YIL061C	YIL061C_mRNA	YIL061C	SNP1	854749
YGR078C	YGR078C_mRNA	YGR078C	PAC10	852969
YJR020W	YJR020W_mRNA	YJR020W		
YAR068W	YAR068W_mRNA	YAR068W		851296
YLR417W	YLR417W_mRNA	YLR417W	VPS36	851135
YDL129W	YDL129W_mRNA	YDL129W		851428
YPR064W	YPR064W_mRNA	YPR064W		
YPL082C	YPL082C_mRNA	YPL082C	MOT1	856023
YMR101C	YMR101C_mRNA	YMR101C	SRT1	855127
YBR299W	YBR299W_mRNA	YBR299W	MAL32	852602
YDL088C	YDL088C_mRNA	YDL088C	ASM4	851470
YKR034W	YKR034W_mRNA	YKR034W	DAL80	853904
tF(GAA)G	tF(GAA)G_tRNA			
YOR199W	YOR199W_mRNA	YOR199W		
YOR005C	YOR005C_mRNA	YOR005C	DNL4	854166
YCR081W	YCR081W_mRNA	YCR081W	SRB8	850442
YHR143W-A	YHR143W-A_mRNA	YHR143W-A	RPC10	856547
YMR296C	YMR296C_mRNA	YMR296C	LCB1	855342
YMR212C	YMR212C_mRNA	YMR212C	EFR3	855252
YDR039C	YDR039C_mRNA	YDR039C	ENA2	851609
YFL027C	YFL027C_mRNA	YFL027C	GYP8	850517
YJL075C	YJL075C_mRNA	YJL075C	APQ13	
tF(GAA)B	tF(GAA)B_tRNA			
YBR219C	YBR219C_mRNA	YBR219C		852520
YBL032W	YBL032W_mRNA	YBL032W	HEK2	852248
YFR039C	YFR039C_mRNA	YFR039C	OSW7	850600
YER184C	YER184C_mRNA	YER184C	TOG1	856933
YBR114W	YBR114W_mRNA	YBR114W	RAD16	852411
YBR267W	YBR267W_mRNA	YBR267W	REI1	852569
RDN5-1	RDN5-1_rRNA			
tH(GUG)G2	tH(GUG)G2_tRNA			
YIL009C-A	YIL009C-A_mRNA	YIL009C-A	EST3	854806
YMR153C-A	YMR153C-A_mRNA	YMR153C-A		
YPL035C	YPL035C_mRNA	YPL035C		
YDR075W	YDR075W_mRNA	YDR075W	PPH3	851647
YER060W-A	YER060W-A_mRNA	YER060W-A	FCY22	856789
tI(AAU)I1	tI(AAU)I1_tRNA			
YNL135C	YNL135C_mRNA	YNL135C	FPR1	855587
YPR107C	YPR107C_mRNA	YPR107C	YTH1	856222
tX(XXX)L	tX(XXX)L_tRNA			
YOL001W	YOL001W_mRNA	YOL001W	PHO80	854161
YNL032W	YNL032W_mRNA	YNL032W	SIW14	855699
YHR060W	YHR060W_mRNA	YHR060W	VMA22	856457
YOR187W	YOR187W_mRNA	YOR187W	TUF1	854359
YMR127C	YMR127C_mRNA	YMR127C	SAS2	855157
YDL223C	YDL223C_mRNA	YDL223C	HBT1	851303
